,Open,High,Low,Close,Volume
2025-02-21 19:45:00,408.1000,408.1000,407.9000,408.0200,4146
2025-02-21 19:30:00,407.9500,408.1800,407.9000,408.0500,3812
2025-02-21 19:15:00,407.9900,408.0000,407.8100,408.0000,3390
2025-02-21 19:00:00,407.9500,408.0000,407.8750,407.9700,1519
2025-02-21 18:45:00,407.9000,408.0000,407.8000,408.0000,2442
2025-02-21 18:30:00,407.8000,408.2100,407.7500,407.9000,53897
2025-02-21 18:15:00,407.8200,408.0000,407.7500,407.7994,7296
2025-02-21 18:00:00,407.9750,408.0000,407.8000,407.8250,2793
2025-02-21 17:45:00,408.1100,408.2100,407.9300,407.9800,5853
2025-02-21 17:30:00,408.0000,425.0326,380.8960,408.1000,8125
2025-02-21 17:15:00,407.8650,414.7798,380.8960,407.9500,7386
2025-02-21 17:00:00,407.8500,415.0600,407.5000,407.8650,740576
2025-02-21 16:45:00,408.1894,408.2100,407.7500,407.8700,422755
2025-02-21 16:30:00,408.2800,408.4000,408.0000,408.1800,9470
2025-02-21 16:15:00,408.2100,408.6500,408.2100,408.3050,165213
2025-02-21 16:00:00,408.2000,410.3502,408.0000,408.5400,9087488
2025-02-21 15:45:00,408.6100,409.1650,407.8900,408.1400,2392601
2025-02-21 15:30:00,409.0600,409.4600,408.6000,408.6100,894027
2025-02-21 15:15:00,408.9088,409.3100,408.3800,409.0600,643522
2025-02-21 15:00:00,408.7300,409.0000,408.3600,408.8700,533724
2025-02-21 14:45:00,409.3082,409.5399,408.6000,408.7299,469939
2025-02-21 14:30:00,409.0600,409.6800,408.5000,409.3550,493374
2025-02-21 14:15:00,410.8500,411.0000,409.0050,409.0900,991335
2025-02-21 14:00:00,410.4700,410.9790,410.2000,410.8700,397705
2025-02-21 13:45:00,411.0000,411.0550,410.2400,410.4400,408232
2025-02-21 13:30:00,412.5350,412.5611,410.9300,411.0000,542811
2025-02-21 13:15:00,413.3100,413.6700,412.4500,412.5300,1289810
2025-02-21 13:00:00,412.5810,413.4700,412.4500,413.3100,476662
2025-02-21 12:45:00,413.0600,413.3048,412.4780,412.5500,618060
2025-02-21 12:30:00,413.2900,413.4500,412.7100,413.0800,406152
2025-02-21 12:15:00,413.9150,414.0191,412.7100,413.2900,890826
